symbol, market_cap
ORCL,243710935040
OGN,5726161408
OTIS,34218395648
PCAR,37853884416
PKG,12180125696
PARA,14132052992
PH,42321367040
PAYX,41147310080
PAYC,16665512960
PYPL,83825467392
PNR,8885317632
PEP,248246353920
PKI,16379203584
PFE,225832435712
PCG,36216119296
PM,147826769920
PSX,46367502336
PNW,8832254976
PXD,46789296128
PNC,51399106560
POOL,13069217792
PPG,30130532352
PPL,20188661760
PFG,17644488704
PG,346251001856
PGR,84180525056
PLD,110038302720
PRU,29541408768
PEG,30335191040
PTC,14658698240
PSA,50450145280
PHM,12882181120
QRVO,9906012160
PWR,23603204096
QCOM,138826203136
DGX,15468331008
RL,7662187520
RJF,19780081664
RTX,142670282752
O,40873041920
REG,10135406592
REGN,90330603520
RF,17247340544
RSG,41969696768
RMD,31462029312
RHI,8319670272
ROK,32548732928
ROL,18221672448
ROP,46123274240
ROST,34724712448
RCL,16191807488
SPGI,110547656704
CRM,194440003584
SBAC,27485120512
SLB,68995907584
STX,12862920704
SEE,6317772288
SRE,46609833984
NOW,87951785984
SHW,55032381440
SPG,39522230272
SWKS,18396493824
SJM,16809032704
SNA,12797133824
SEDG,15696343040
SO,75211014144
LUV,18363467776
SWK,11941351424
SBUX,113573822464
STT,25620625408
STLD,18778353664
STE,18545829888
SYK,105690062848
SYF,12438016000
SNPS,57218338816
SYY,39306313728
TMUS,175310258176
TROW,24781854720
TTWO,19551121408
TPR,9816040448
TRGP,16116299776
TGT,72594800640
TEL,39882461184
TDY,20434937856
TFX,11665633280
TER,16600385536
TSLA,607697371136
TXN,163729866752
TXT,14293876736
TMO,215355162624
TJX,88372649984
TSCO,25263955968
TT,42280374272
TDG,39441121280
TRV,39115964416
TRMB,12574795776
TFC,44771598336
TYL,14061111296
TSN,20690319360
USB,55198052352
UDR,21559123968
ULTA,26464864256
UNP,121303826432
UAL,14002851840
UPS,162676670464
URI,26181736448
UNH,438755229696
UHS,8767506432
VLO,50031759360
VTR,17679734784
VRSN,21675868160
VRSK,29396107264
VZ,160582418432
VRTX,80209821696
VFC,8301713408
VTRS,11411582976
VICI,31923519488
V,466208555008
VMC,22469335040
WAB,17833205760
WBA,29195759616
WMT,388983750656
WBD,35393388544
WM,63916605440
WAT,17710784512
WEC,29625655296
WFC,141168738304
WELL,34646827008
WST,25581524992
WDC,11425555456
WRK,7503321088
WY,20996388864
WHR,6975981056
WMB,35485650944
WTW,24663216128
GWW,34056497152
WYNN,12573229056
XEL,36317392896
XYL,18139572224
YUM,36077912064
ZBRA,15094732800
ZBH,26493272064
ZION,4526646272
ZTS,76000100352
